"Order_ID;""Order_Date"";""Ship_Date"";""Ship_Mode"";""Customer_ID"";""Customer_Name"";""Segment"";""Country"";""City"";""State"";""Postal_Code"";""Region"";""Product_ID"";""Category"";""Sub_Category"";""Product_Name"";""Sales"";""Quantity"";""Discount"";""Profit""",,,,,
"CA-2013-152156;""2013-09-11"";""2013-12-11"";""Second Class"";""CG-12520"";""Claire Gute"";""Consumer"";""United States"";""Henderson"";""Kentucky"";""42420"";""South"";""FUR-BO-10001798"";""Furniture"";""Bookcases"";""Bush Somerset Collection Bookcase"";261.96;2;0.0;41.9136",,,,,
"CA-2013-152156;""2013-09-11"";""2013-12-11"";""Second Class"";""CG-12520"";""Claire Gute"";""Consumer"";""United States"";""Henderson"";""Kentucky"";""42420"";""South"";""FUR-CH-10000454"";""Furniture"";""Chairs"";""Hon Deluxe Fabric Upholstered Stacking Chairs"," Rounded Back"";731.94;3;0.0;219.582",,,,
"CA-2013-161389;""2013-06-12"";""2013-11-12"";""Standard Class"";""IM-15070"";""Irene Maddox"";""Consumer"";""United States"";""Seattle"";""Washington"";""98103"";""West"";""OFF-BI-10003656"";""Office Supplies"";""Binders"";""Fellowes PB200 Plastic Comb Binding Machine"";407.976;3;0.2;132.592",,,,,
"CA-2013-117590;""2013-09-12"";""2013-11-12"";""First Class"";""GH-14485"";""Gene Hale"";""Corporate"";""United States"";""Richardson"";""Texas"";""75080"";""Central"";""TEC-PH-10004977"";""Technology"";""Phones"";""GE 30524EE4"";1097.54;7;0.2;123.474",,,,,
"CA-2013-117590;""2013-09-12"";""2013-11-12"";""First Class"";""GH-14485"";""Gene Hale"";""Corporate"";""United States"";""Richardson"";""Texas"";""75080"";""Central"";""FUR-FU-10003664"";""Furniture"";""Furnishings"";""Electrix Architect's Clamp-On Swing Arm Lamp"," Black"";190.92;5;0.6;-147.963",,,,
"CA-2011-106376;""2011-05-12"";""2011-10-12"";""Standard Class"";""BS-11590"";""Brendan Sweed"";""Corporate"";""United States"";""Gilbert"";""Arizona"";""85234"";""West"";""OFF-AR-10002671"";""Office Supplies"";""Art"";""Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener"," Beige"";1113.02;8;0.2;111.302",,,,
"CA-2011-106376;""2011-05-12"";""2011-10-12"";""Standard Class"";""BS-11590"";""Brendan Sweed"";""Corporate"";""United States"";""Gilbert"";""Arizona"";""85234"";""West"";""TEC-PH-10002726"";""Technology"";""Phones"";""netTALK DUO VoIP Telephone Service"";167.968;4;0.2;62.988",,,,,
"CA-2013-119823;""2013-05-06"";""2013-07-06"";""First Class"";""KD-16270"";""Karen Daniels"";""Consumer"";""United States"";""Springfield"";""Virginia"";""22153"";""South"";""OFF-PA-10000482"";""Office Supplies"";""Paper"";""Snap-A-Way Black Print Carbonless Ruled Speed Letter"," Triplicate"";75.88;2;0.0;35.6636",,,,
"US-2014-118038;""2014-10-12"";""2014-12-12"";""First Class"";""KB-16600"";""Ken Brennan"";""Corporate"";""United States"";""Houston"";""Texas"";""77041"";""Central"";""OFF-BI-10004182"";""Office Supplies"";""Binders"";""Economy Binders"";1.248;3;0.8;-1.9344",,,,,
"US-2014-118038;""2014-10-12"";""2014-12-12"";""First Class"";""KB-16600"";""Ken Brennan"";""Corporate"";""United States"";""Houston"";""Texas"";""77041"";""Central"";""OFF-ST-10000615"";""Office Supplies"";""Storage"";""SimpliFile Personal File", Black Granite," 15w x 6-15/16d x 11-1/4h"";27.24;3;0.2;2.724",,,
"CA-2012-149734;""2012-03-09"";""2012-08-09"";""Standard Class"";""JC-16105"";""Julie Creighton"";""Corporate"";""United States"";""Durham"";""North Carolina"";""27707"";""South"";""OFF-EN-10000927"";""Office Supplies"";""Envelopes"";""Jet-Pak Recycled Peel 'N' Seal Padded Mailers"";200.984;7;0.2;62.8075",,,,,
"CA-2013-159695;""2013-06-04"";""2013-11-04"";""Second Class"";""GM-14455"";""Gary Mitchum"";""Home Office"";""United States"";""Houston"";""Texas"";""77095"";""Central"";""OFF-ST-10003442"";""Office Supplies"";""Storage"";""Eldon Portable Mobile Manager"";158.368;7;0.2;13.8572",,,,,
