Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Ship_Delay_Days,Profit_Margin,Month
CA-2013-152156,9/11/2013,12/11/2013,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,91,16,2013-09
CA-2013-152156,9/11/2013,12/11/2013,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,91,30,2013-09
CA-2013-161389,6/12/2013,11/12/2013,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.592,153,32.49995098,2013-06
CA-2013-117590,9/12/2013,11/12/2013,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.474,61,11.25006833,2013-09
CA-2013-117590,9/12/2013,11/12/2013,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,61,-77.5,2013-09
CA-2011-106376,5/12/2011,10/12/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.302,153,10,2011-05
CA-2011-106376,5/12/2011,10/12/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,153,37.5,2011-05
CA-2013-119823,5/6/2013,7/6/2013,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,61,47,2013-05
US-2014-118038,10/12/2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,61,-155,2014-10
US-2014-118038,10/12/2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,61,10,2014-10
CA-2012-149734,3/9/2012,8/9/2012,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,153,31.25,2012-03
CA-2013-159695,6/4/2013,11/4/2013,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,153,8.75,2013-06
CA-2014-161018,10/11/2014,12/11/2014,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426,61,42,2014-10
CA-2013-149223,7/9/2013,12/9/2013,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852,153,29,2013-07
CA-2013-129903,2/12/2013,5/12/2013,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208,89,49,2013-02
CA-2013-128867,4/11/2013,11/11/2013,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,214,30,2013-04
CA-2013-128867,4/11/2013,11/11/2013,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders""",27.24,6,0,13.3476,214,49,2013-04
CA-2012-110457,2/3/2012,6/3/2012,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.381,121,20.99996191,2012-02
US-2012-136476,5/4/2012,10/4/2012,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.716,153,-73.33358683,2012-05
US-2013-125969,7/11/2013,11/11/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,123,-11.25,2013-07
US-2013-125969,7/11/2013,11/11/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416,123,11,2013-07
US-2014-164147,3/2/2014,6/2/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,92,-20,2014-03
US-2014-164147,3/2/2014,6/2/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,92,37.5,2014-03
US-2014-164147,3/2/2014,6/2/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732,92,32.5,2014-03
CA-2013-110366,6/9/2013,8/9/2013,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock""",82.8,2,0.2,10.35,61,12.5,2013-06
CA-2012-110744,7/9/2012,12/9/2012,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579,153,3,2012-07
CA-2013-114489,6/12/2013,10/12/2013,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.801,122,26.99986994,2013-06
CA-2013-114489,6/12/2013,10/12/2013,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988,122,4,2013-06
CA-2013-114489,6/12/2013,10/12/2013,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552,122,30,2013-06
CA-2013-114489,6/12/2013,10/12/2013,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285,122,47,2013-06
CA-2011-104269,1/3/2011,6/3/2011,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,151,11.25,2011-01
CA-2013-113817,8/11/2013,12/11/2013,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,122,35,2013-08
CA-2011-139892,8/9/2011,12/9/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,122,27.5,2011-08
CA-2011-139892,8/9/2011,12/9/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.95,8,0.4,-1359.99,122,-16.66664624,2011-08
CA-2011-139892,8/9/2011,12/9/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347,122,-21.25,2011-08
CA-2011-139892,8/9/2011,12/9/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858,122,-1.428571429,2011-08
CA-2011-139892,8/9/2011,12/9/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,122,21.25,2011-08
CA-2011-139892,8/9/2011,12/9/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849,122,-255,2011-08
